Removed Pin From Net: NetName=GND Pin=J3-A1B12
Change Component Footprint: Designator=J3 Old Footprint= New Footprint=FP-2171790001-MFG
Add Pin To Net: Unknown Pin: Pin J3-A1-B12
Add Pin To Net: Unknown Pin: Pin J3-A4-B9
Add Pin To Net: Unknown Pin: Pin J3-B1-A12
Add Pin To Net: Unknown Pin: Pin J3-B4-A9
Add Pin To Net: Unknown Pin: Pin J3-S1
Add Pin To Net: Unknown Pin: Pin J3-S2
Add Pin To Net: Unknown Pin: Pin J3-S3
Add Pin To Net: Unknown Pin: Pin J3-S4
Add Pin To Net: Unknown Pin: Pin J4-A1-B12
Add Pin To Net: Unknown Pin: Pin J4-A4-B9
Add Pin To Net: Unknown Pin: Pin J4-B1-A12
Add Pin To Net: Unknown Pin: Pin J4-B4-A9
Add Pin To Net: Unknown Pin: Pin J4-S1
Add Pin To Net: Unknown Pin: Pin J4-S2
Add Pin To Net: Unknown Pin: Pin J4-S3
Add Pin To Net: Unknown Pin: Pin J4-S4
