Altium Designer Pick and Place Locations
C:\Users\Notebook\Desktop\PCB-DESIGNS\ESP32-with-USB\Project Outputs for ESP32-with-USB\Pick Place\Pick Place for ESP32-with-USB_V0.1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       02-09-24
Time:       12:43
Revision:   e1db5f01090ac41b2a2da75b562afbe2d9e57f4e
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R12","4.7k, 0402","TopLayer","RESC1005X37N","1079.992","676.000","180","RES 4.7K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","1079.517","640.502","0","10 kOhm, ± 1%, 62.5 mW, 0402 [1005 Metric], SMD Chip Resistor, Thick Film, General Purpose"
"D5","AQ4021-01FTG-C","TopLayer","AQ4021-01FTG-C_0805","396.000","804.000","180","Trans Voltage Suppressor Diode"
"U3","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","840.000","765.000","270","IC USB SERIAL FULL UART 20QFN"
"U2","TL1963A-33DCYR","TopLayer","DCY0004A_N","821.968","290.000","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U1","ESP32-S3-MINI","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2416.409","529.606","270","ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1500.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1500.000","800.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R25","1k, 0402","TopLayer","RESC1005X37N","1789.880","698.394","90","RES 1K OHM 1% 1/16W 0402"
"R24","1k, 0402","TopLayer","RESC1005X37N","1824.193","231.774","180","RES 1K OHM 1% 1/16W 0402"
"R22","0Ohm, 0402","TopLayer","RESC1005X37N","1975.984","481.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R21","0Ohm, 0402","TopLayer","RESC1005X37N","1973.008","546.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R20","10K","TopLayer","RESC1005X37N","1642.000","616.000","90","10 kOhm, ± 1%, 62.5 mW, 0402 [1005 Metric], SMD Chip Resistor, Thick Film, General Purpose"
"R19","10K","TopLayer","RESC1005X37N","1082.000","826.000","90","10 kOhm, ± 1%, 62.5 mW, 0402 [1005 Metric], SMD Chip Resistor, Thick Film, General Purpose"
"R18","0Ohm, 0402","TopLayer","RESC1005X37N","2381.000","192.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R17","0Ohm, 0402","TopLayer","RESC1005X37N","2457.137","191.734","180","RES 0 OHM JUMPER 1/16W 0402"
"R16","27R 1%","TopLayer","RESC1005X37N","2485.223","870.747","0","27 OHM 1% 1/16W 0402"
"R15","10K","TopLayer","RESC1005X37N","1080.844","747.886","270","10 kOhm, ± 1%, 62.5 mW, 0402 [1005 Metric], SMD Chip Resistor, Thick Film, General Purpose"
"R14","27R 1%","TopLayer","RESC1005X37N","2485.223","925.747","0","27 OHM 1% 1/16W 0402"
"R11","5.1K, 0402","TopLayer","RESC1005X37N","522.233","913.655","90","5.1kOhm 1% 1/16W 0402"
"R10","5.1K, 0402","TopLayer","RESC1005X37N","510.141","680.753","90","5.1kOhm 1% 1/16W 0402"
"R8","0Ohm, 0402","TopLayer","RESC1005X37N","924.000","582.000","270","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R 1%","TopLayer","RESC1005X37N","654.000","801.000","0","27 OHM 1% 1/16W 0402"
